X,Y,cluster
1.8065165884271104,0.3510256182805084,1
-2.7683731858801,3.428021445278271,0
0.9304048258730766,1.1313806358682483,1
2.119553167783068,0.7155767413923274,1
-0.5411199460367753,4.153708895083728,0
-2.208406304500468,0.9644325289506308,2
-0.8790257509986761,-2.631701096660128,2
0.5313034902363895,-1.435451424775945,2
-5.403281423784738,-3.1911789650150046,2
6.534542998335882,2.094144959792184,1
-0.5645221865706822,2.9383944693935145,0
0.3025005146542629,-1.7537602066465972,2
-0.2902042732772978,1.4925329930608433,1
-0.7620476999696393,0.5494852810045978,2
0.395833386255071,0.5545242975136423,1
-0.3920500534433641,-1.9526950117998492,2
-1.0815867036895035,-0.2933669967742424,2
1.7747762249359826,0.4530232317787017,1
1.0152210996602329,1.7561706425933283,1
1.6910453034476007,-3.2512194450454617,2
-2.084609601488725,-0.3889895746931463,2
-1.8580352570516767,-2.9594415882400886,2
1.5397619132708034,-0.4698105993392755,1
-1.6486909165848498,-1.3551348571866906,2
1.9373542379204551,1.979870560155188,1
0.4823855137258423,-0.162764937985035,1
1.7120108164455043,-1.8317665290922516,1
-1.5924629702549298,-1.041271937628088,2
0.6164559411575573,2.2091666071481693,1
-0.3376020516426052,-2.837920628645545,2
-3.33648384103622,0.2156665704357355,2
1.3471761175423982,1.319232356099456,1
-0.4727718297587801,0.0415109434585215,2
0.2015815647469688,1.488434278496513,1
-1.3780149005658835,-1.9200641066765507,2
0.9885790115618184,-0.6151735498983876,1
0.7912638161677843,1.3353333079913312,1
0.907114917143382,-0.4194752158964477,1
2.5226733602982025,-1.8751431723888343,1
0.5157687835868631,-1.7802809071716077,2
1.3963420522096108,0.6971654630174929,1
-0.8604184210750558,-1.445413953592437,2
1.158965375925632,0.2319300729700529,1
-0.465594343767427,5.454521984968889,0
-4.165157233080769,3.7495924966931184,0
-0.0391030383465567,-3.670565509857161,2
-1.5198330750432951,0.6921183724267086,2
-0.575676875798679,0.5247658768718121,2
3.972932786927009,-1.144656869790123,1
-0.3586609827979741,-1.4868954928681652,2
-1.608330941793837,-0.607588053056457,2
