,principal component 1,principal component 2
0,-0.21645300591763095,-1.4337270363293333
1,2.5989326623034232,0.32325116852038366
2,0.33986449648787137,-1.2175674414705537
3,0.4789954900710866,-1.3524682940704285
4,1.6668126288302882,-0.6817003594523987
5,1.1443894299703503,1.643061125330306
6,-1.1756190771683548,0.7811807104511035
7,-2.2344721244061443,-0.16163855153089154
8,0.07453922196857633,5.4728506709047195
9,-1.5383747246239117,-3.7816833580526032
10,2.3176118015255125,-0.8753916440743094
11,-1.3965634457859326,-0.2324568081463357
12,1.430622682942103,-0.04136275397330529
13,0.17073401222239803,0.4356652951420649
14,0.6629508088936349,-0.054185533689599996
15,-0.28488812974409283,1.0414545840281428
16,1.066016093154108,0.636114516770095
17,-0.16996298025610915,-0.7459638991273927
18,0.37835734086003053,-1.0540164674010173
19,-3.7750654758572355,-0.15000618778526562
20,0.3403272521865381,1.2471308258116898
21,-0.9855206241805142,1.9664900999164356
22,-1.1904801787532073,-0.18635899673565867
23,-0.07693684404028066,1.9447882205594613
24,0.6855882721132414,-2.000670630886836
25,0.027066805246830458,-0.33402649880954627
26,-1.59596024742303,0.2129079888456649
27,0.9138560984812557,1.655254225810826
28,0.8107819352107204,-1.2597156442718596
29,-2.190199815131477,1.3364643694265654
30,-0.004046461134270018,-0.22542626928297452
31,-0.4433167819344664,-1.5738004570331046
32,-0.7887556527445302,0.2933387810818507
33,0.3892708750940918,-1.216647627888606
34,0.8769245172749344,1.5801327506219613
35,-0.5150534076946853,-0.22423390878366495
36,1.721507334796671,-1.3324541719322682
37,-1.1887298575929477,0.1605806462645064
38,-1.4881062300107843,-0.6345185862198107
39,-1.69450760565941,1.001517905013701
40,-0.5322534605127411,-1.3940804075732645
41,0.5964169578692331,0.6979647179239729
42,0.34861137440077117,-0.9014418398695665
43,4.777325189672129,-2.155102410692047
44,5.226261452414224,1.787132527458139
45,-3.1444063907592255,1.418587118726044
46,0.5639346091682288,0.6255882085271887
47,0.4344230959177614,0.603004195344673
48,-2.9767455803929344,-2.2347469883051825
49,-0.867565929691919,0.8170054303333972
50,0.4318615923398205,-0.22607330942506804
